disorder_id,orpha_code,name,disorder_type,disorder_group,expert_link,age_of_onset,type_of_inheritance
17608,166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063,Antenatal,Autosomal recessive
17611,166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078,All ages,Autosomal dominant
17610,166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073,Neonatal,Autosomal recessive
11,213,Cystinosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213,Adolescent|Adult|Childhood|Infancy,Autosomal recessive
17613,166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084,,Autosomal dominant|Autosomal recessive
12,333,Farber disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333,Antenatal|Childhood|Infancy|Neonatal,Autosomal recessive
17612,166081,Von Willebrand disease type 2,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081,All ages,Autosomal dominant|Autosomal recessive
13,349,Fucosidosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349,Childhood|Infancy,Autosomal recessive
17615,166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090,,Autosomal dominant
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365,Adolescent|Adult|Antenatal|Childhood|Infancy|Neonatal,Autosomal recessive
17614,166087,Von Willebrand disease type 2B,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087,,Autosomal dominant
15,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366,Childhood|Infancy,Autosomal recessive
17616,166093,Von Willebrand disease type 2N,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093,,Autosomal recessive
17,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368,Childhood|Infancy,Autosomal recessive
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096,Infancy|Neonatal,Autosomal recessive
16,367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=367,All ages,Autosomal recessive
17618,166100,Autosomal dominant otospondylomegaepiphyseal dysplasia,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166100,Infancy|Neonatal,Autosomal dominant
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371,Adolescent|Adult|Childhood|Infancy,Autosomal recessive
17619,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166105,Adolescent|Infancy|Neonatal,Autosomal recessive
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=369,Childhood,Autosomal recessive
21,447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=447,All ages,Not applicable
17620,166108,Birk-Barel syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108,Infancy,
17621,166113,Bazex syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113,Adult,Not applicable
23,535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=535,All ages,Multigenic/multifactorial
17622,166119,Isolated osteopoikilosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119,Adolescent|Adult|Childhood,Autosomal dominant
22,487,Krabbe disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487,Adolescent|Adult|Childhood|Infancy|Neonatal,Autosomal recessive
17624,166260,Dentinogenesis imperfecta type 2,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260,Childhood,Autosomal dominant
17625,166265,Dentinogenesis imperfecta type 3,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166265,Childhood,Autosomal dominant
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=583,Childhood,Autosomal recessive
17626,166272,Odontochondrodysplasia,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166272,Infancy|Neonatal,
27,576,Mucolipidosis type II,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=576,Antenatal|Neonatal,Autosomal recessive
17627,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166277,Childhood,Unknown
26,812,Sialidosis type 1,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=812,Adolescent|Childhood,Autosomal recessive
17628,166282,Familial sick sinus syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166282,Adult|Elderly,Autosomal dominant|Autosomal recessive
29,578,Mucolipidosis type IV,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=578,Infancy,Autosomal recessive
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166286,Infancy|Neonatal,
28,577,Mucolipidosis type III,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=577,Childhood,Autosomal recessive
17630,166291,Dirofilariasis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166291,All ages,Not applicable
17635,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166308,Infancy,
17634,166305,Benign infantile seizures associated with mild gastroenteritis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166305,Infancy,
32,2912,Poliomyelitis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2912,Childhood,Not applicable
38,796,Sandhoff disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=796,Adolescent|Adult|Childhood|Infancy,Autosomal recessive
17639,166409,Photosensitive epilepsy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166409,Adolescent|Adult|Childhood,
39,801,Scleroderma,Clinical group,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=801,All ages,Not applicable
42,461,Recessive X-linked ichthyosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=461,Neonatal,X-linked recessive
40,584,Mucopolysaccharidosis type 7,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=584,Adolescent|Antenatal|Childhood|Infancy|Neonatal,Autosomal recessive
17640,166412,Hot water reflex epilepsy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166412,,Autosomal dominant
44,881,Turner syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=881,Antenatal|Childhood|Infancy|Neonatal,Not applicable|Unknown
45,95,Friedreich ataxia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95,Adolescent|Childhood,Autosomal recessive
51,848,Beta-thalassemia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=848,Childhood|Infancy,Autosomal dominant|Autosomal recessive
50,846,Alpha-thalassemia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=846,All ages,Autosomal recessive
49,586,Cystic fibrosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=586,All ages,Autosomal recessive
55,262,Duchenne and Becker muscular dystrophy,Clinical group,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=262,Adolescent|Adult|Childhood,X-linked recessive
59,261,Emery-Dreifuss muscular dystrophy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=261,Childhood,Autosomal dominant|Autosomal recessive|X-linked recessive
63,550,MELAS,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=550,Adolescent|Adult|Childhood,Mitochondrial inheritance|Not applicable
62,269,Facioscapulohumeral dystrophy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=269,All ages,Autosomal dominant
61,480,Kearns-Sayre syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=480,Adolescent|Adult|Childhood|Infancy,Autosomal recessive|Mitochondrial inheritance|Not applicable
68,593,Myofibrillar myopathy,Category,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=593,Adult,Autosomal dominant|Autosomal recessive
64,551,MERRF,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=551,Adult|Childhood,Mitochondrial inheritance
65,597,Central core disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=597,Childhood,Autosomal dominant
66,607,Nemaline myopathy,Clinical group,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=607,All ages,Autosomal dominant|Autosomal recessive|Not applicable
17538,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163746,Infancy|Neonatal,Autosomal dominant
76,684,Paramyotonia congenita of Von Eulenburg,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=684,Adolescent|Childhood|Infancy|Neonatal,Autosomal dominant
17549,163931,Acrodermatitis continua of Hallopeau,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163931,,Autosomal recessive
77,273,Steinert myotonic dystrophy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=273,Adolescent|Adult|Antenatal|Childhood|Infancy|Neonatal,Autosomal dominant
17548,163927,Pustulosis palmaris et plantaris,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163927,,Autosomal dominant|Autosomal recessive
17551,163937,"X-linked intellectual disability, Najm type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163937,Infancy|Neonatal,X-linked dominant
17550,163934,Atopic keratoconjunctivitis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163934,All ages,Not applicable
75,614,Thomsen and Becker disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=614,Adolescent|Adult|Childhood|Infancy,Autosomal dominant|Autosomal recessive
17546,163921,Posttransplant acute limbic encephalitis,Particular clinical situation in a disease or syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163921,All ages,
17556,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163966,Infancy|Neonatal,X-linked dominant
17557,163971,"X-linked intellectual disability, Cilliers type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163971,Infancy|Neonatal,X-linked recessive
17558,163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163976,Infancy|Neonatal,X-linked recessive
17559,163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163979,Antenatal|Infancy|Neonatal,Unknown
17554,163956,"X-linked intellectual disability, Nascimento type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163956,Infancy,X-linked recessive
17555,163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163961,Infancy|Neonatal,X-linked recessive
94,324,Fabry disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324,Adolescent|Adult|Childhood,X-linked dominant|X-linked recessive
17561,163985,Hyperekplexia-epilepsy syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163985,Neonatal,X-linked recessive
91,778,Rett syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=778,Infancy,X-linked dominant
90,72,Angelman syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72,Infancy,Not applicable|Unknown
102,307,Juvenile myoclonic epilepsy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=307,Adolescent,Autosomal dominant|Autosomal recessive|Multigenic/multifactorial
101,1941,Juvenile absence epilepsy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1941,Adolescent,Multigenic/multifactorial|Unknown
99,892,Von Hippel-Lindau disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=892,Adolescent|Adult|Childhood,Autosomal dominant
97,731,Autosomal recessive polycystic kidney disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=731,All ages,Autosomal recessive
17568,164736,Familial advanced sleep-phase syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=164736,Adolescent|Childhood,Autosomal dominant
110,138,CHARGE syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=138,Neonatal,Autosomal dominant|Unknown
109,558,Marfan syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=558,All ages,Autosomal dominant
17579,165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165805,Childhood|Infancy,Autosomal dominant|Autosomal recessive
106,803,Amyotrophic lateral sclerosis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=803,Adult,Autosomal dominant|Autosomal recessive|Not applicable
104,100,Ataxia-telangiectasia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=100,Childhood|Infancy,Autosomal recessive
105,733,Familial adenomatous polyposis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=733,Adult,Autosomal dominant|Autosomal recessive
118,399,Huntington disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=399,Adolescent|Adult|Childhood|Elderly,Autosomal dominant
17588,165955,Wound myiasis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165955,,Not applicable
117,501,Lafora disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=501,Adolescent,Autosomal recessive
17589,165958,Cavitary myiasis,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165958,,Not applicable
116,870,Down syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=870,Antenatal|Neonatal,Not applicable
112,512,Metachromatic leukodystrophy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=512,Adolescent|Adult|Childhood|Infancy,Autosomal recessive
126,567,22q11.2 deletion syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=567,All ages,Autosomal dominant
17599,166016,"Multiple epiphyseal dysplasia, Lowry type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166016,Neonatal,
125,232,Sickle cell anemia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=232,All ages,Autosomal recessive
124,536,Systemic lupus erythematosus,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=536,Adolescent|Adult|Childhood|Infancy,Not applicable
17597,166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166002,Adolescent|Childhood,Autosomal dominant
123,534,Oculocerebrorenal syndrome of Lowe,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=534,Neonatal,X-linked recessive
122,790,Retinoblastoma,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=790,Antenatal|Childhood|Infancy,Autosomal dominant|Not applicable
17595,165991,Exercise-induced hyperinsulinism,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165991,,Autosomal dominant
121,652,Multiple endocrine neoplasia type 1,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=652,All ages,Autosomal dominant|Not applicable
120,908,Fragile X syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=908,Childhood|Infancy|Neonatal,X-linked dominant
137,3099,Rheumatic fever,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3099,Childhood,Not applicable
139,739,Prader-Willi syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=739,Antenatal|Neonatal,Autosomal dominant|Not applicable
142,47,X-linked agammaglobulinemia,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=47,Childhood,Not applicable|X-linked recessive
131,580,Mucopolysaccharidosis type 2,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=580,Childhood,X-linked recessive
132,579,Mucopolysaccharidosis type 1,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=579,All ages,Autosomal recessive
134,905,Wilson disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=905,Adolescent|Adult|Childhood|Elderly,Autosomal recessive
155,792,X-linked retinoschisis,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=792,Adolescent|Adult|Childhood|Infancy,X-linked recessive
17500,163525,Subacute cutaneous lupus erythematosus,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163525,Adult|Elderly,
158,827,Stargardt disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=827,Adolescent|Adult|Childhood|Elderly,Autosomal dominant|Autosomal recessive
17502,163531,Chronic cutaneous lupus erythematosus,Clinical group,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163531,Adolescent|Adult|Childhood|Elderly,Multigenic/multifactorial
144,906,Wiskott-Aldrich syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=906,Infancy|Neonatal,Autosomal dominant|Autosomal recessive|Not applicable|X-linked recessive
145,904,Williams syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=904,Antenatal|Neonatal,Autosomal dominant
147,280,Wolf-Hirschhorn syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=280,Antenatal|Neonatal,Multigenic/multifactorial|Not applicable
17490,162516,Isolated congenital nasal pyriform aperture stenosis,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=162516,Neonatal,
148,15,Achondroplasia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=15,Neonatal,Autosomal dominant
149,96,Ataxia with vitamin E deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96,All ages,Autosomal recessive
150,101,Dentatorubral pallidoluysian atrophy,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101,All ages,Autosomal dominant
151,783,Rubinstein-Taybi syndrome,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=783,Antenatal|Neonatal,Autosomal dominant|Unknown
17514,163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163649,Infancy|Neonatal,Autosomal recessive
171,631,Non-acquired isolated growth hormone deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=631,Neonatal,Autosomal dominant|Autosomal recessive|X-linked recessive
170,276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=276,Neonatal,X-linked recessive
17515,163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163654,Infancy|Neonatal,Unknown
169,481,Kennedy disease,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=481,Adult,X-linked recessive
168,664,Ornithine transcarbamylase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=664,All ages,X-linked recessive
17518,163668,"Spondyloepiphyseal dysplasia, MacDermot type",Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163668,Infancy|Neonatal,Autosomal dominant
17516,163662,"Spondyloepiphyseal dysplasia, Reardon type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163662,Infancy|Neonatal,Autosomal dominant
173,394,Homocystinuria due to cystathionine beta-synthase deficiency,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=394,Adolescent|Adult|Childhood,Autosomal recessive
17517,163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163665,Childhood,Autosomal recessive
172,508,Leprechaunism,Malformation syndrome,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=508,Antenatal|Neonatal,Autosomal recessive
162,436,Hypophosphatasia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=436,All ages,Autosomal dominant|Autosomal recessive
17507,163596,Hb Bart's hydrops fetalis,Clinical subtype,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163596,Antenatal|Neonatal,Autosomal recessive
161,429,Hypochondroplasia,Disease,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=429,Adolescent|Adult|Antenatal|Childhood|Infancy|Neonatal,Autosomal dominant
160,437,Hypophosphatemic rickets,Clinical group,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=437,All ages,Autosomal dominant|Autosomal recessive|X-linked dominant
