disorder_id,orpha_code,name,disorder_type,disorder_group,prevalence_type,prevalence_qualification,prevalence_class,val_moy,prevalence_geographic,prevalence_validation_status,source
5,93,Aspartylglucosaminuria,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.2,Australia,Validated,9918480[PMID]
5,93,Aspartylglucosaminuria,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
5,93,Aspartylglucosaminuria,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.62,Sweden,Validated,25274184[PMID]
5,93,Aspartylglucosaminuria,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,3.35,Finland,Validated,27906067[PMID]
17604,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,Cases/families,Case(s),,12.0,Worldwide,Validated,7252997[PMID]_28285769[PMID]
17604,166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Malformation syndrome,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_7252997[PMID]_28285769[PMID]
6,585,Multiple sulfatase deficiency,Disease,Disorder,Cases/families,Case(s),,154.0,Worldwide,Validated,36980153[PMID]_37732042[PMID]_ORPHANET
6,585,Multiple sulfatase deficiency,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.2,Worldwide,Validated,33144036[PMID]
7,118,Beta-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.14,Europe,Validated,14685153[PMID]_10480370[PMID]_20490927[PMID]
7,118,Beta-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Czech Republic,Validated,20490927[PMID]
7,118,Beta-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.13,Netherlands,Validated,10480370[PMID]
7,118,Beta-mannosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal,Validated,14685153[PMID]
7,118,Beta-mannosidosis,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Validated,ORPHANET
8,141,Canavan disease,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
8,141,Canavan disease,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,7.0,Specific population,Validated,20301412[PMID]_ORPHANET
8,141,Canavan disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Worldwide,Validated,[EXPERT]
17608,166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,Cases/families,Family(ies),,10.0,Worldwide,Validated,[EXPERT]
17608,166063,Pontocerebellar hypoplasia type 4,Malformation syndrome,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_20952379[PMID]
17611,166078,Von Willebrand disease type 1,Clinical subtype,Subtype of disorder,Point prevalence,Class only,1-5 / 10 000,0.0,Europe,Not yet validated,ORPHANET
17610,166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,Cases/families,Case(s),,10.0,Worldwide,Validated,25809939[PMID]
17610,166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_25809939[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.75,Worldwide,Validated,12110740[PMID]_18008091[PMID]_11562417[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.5,Europe,Validated,[EXPERT]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.31,France,Validated,1018302[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.59,Germany,Validated,3921756[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.1,United Kingdom,Validated,9610798[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.52,Australia,Validated,9918480[PMID]
11,213,Cystinosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.5,Europe,Validated,European Medicines Agency 2014[INST]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.87,Denmark,Validated,975942[PMID]_27102039[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,Sweden,Validated,25274184[PMID]_27102039[PMID]
11,213,Cystinosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.6,Specific population,Validated,1937486[PMID]_25274184[PMID]
17613,166084,Von Willebrand disease type 2A,Clinical subtype,Subtype of disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
12,333,Farber disease,Disease,Disorder,Cases/families,Case(s),,96.0,Worldwide,Validated,29048419[PMID]
12,333,Farber disease,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_29048419[PMID]
17612,166081,Von Willebrand disease type 2,Clinical subtype,Subtype of disorder,Point prevalence,Class only,1-9 / 1 000 000,0.935,Worldwide,Validated,PMID: 30306084
13,349,Fucosidosis,Disease,Disorder,Cases/families,Case(s),,161.0,Worldwide,Validated,36082656[PMID]
13,349,Fucosidosis,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Validated,36082656[PMID]_ORPHANET
13,349,Fucosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Sweden,Validated,25274184[PMID]
13,349,Fucosidosis,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.63,Cuba,Validated,27706744[PMID]
17615,166090,Von Willebrand disease type 2M,Clinical subtype,Subtype of disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.8,Europe,Not yet validated,ORPHANET
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.17,Portugal,Validated,14685153[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.83,Italy,Validated,11953730[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.25,Netherlands,Validated,10480370[PMID]_10482961[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.37,Czech Republic,Validated,20490927[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,11.5,Austria,Validated,22133539[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.5,United States,Validated,9738873[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.68,Australia,Validated,9918480[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.0,China,Validated,3106710[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.72,Sweden,Validated,25274184[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Israel,Validated,33239050[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,4.8,Specific population,Validated,33239050[PMID]
14,365,Glycogen storage disease due to acid maltase deficiency,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.0,Europe,Validated,European Medicines Agency 2018[INST]
17614,166087,Von Willebrand disease type 2B,Clinical subtype,Subtype of disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
15,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.0,United States,Validated,9412782[PMID]
15,366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Validated,ORPHANET
17616,166093,Von Willebrand disease type 2N,Clinical subtype,Subtype of disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
17,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.1865,Worldwide,Validated,30306084[PMID]_33780098[PMID]_ORPHANET
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.037,Austria,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.24,Finland,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.016,France,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.044,Greece,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.16,Israel,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.055,Italy,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.037,Netherlands,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.25,Norway,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.022,Portugal,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.011,Spain,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.312,Sweden,Validated,PMID: 6609712
17617,166096,Von Willebrand disease type 3,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,<1 / 1 000 000,0.027,United Kingdom,Validated,PMID: 6609712
16,367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Worldwide,Not yet validated,23285490[PMID]
16,367,Glycogen storage disease due to glycogen branching enzyme deficiency,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,Cases/families,Case(s),,100.0,Worldwide,Validated,18421897[PMID]
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_18421897[PMID]
17619,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Disorder,Cases/families,Case(s),,3.0,Worldwide,Validated,18771761[PMID]_28499982[PMID]
17619,166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_18771761[PMID]_28499982[PMID]
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Israel,Validated,33239050[PMID]
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,4.8,Specific population,Validated,33239050[PMID]
21,447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.35,United Kingdom,Validated,34060690[PMID]
21,447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.81,United Kingdom,Validated,34060690[PMID]
21,447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.0,Europe,Validated,European Medicines Agency 2016[INST]
17620,166108,Birk-Barel syndrome,Disease,Disorder,Cases/families,Family(ies),,1.0,Worldwide,Validated,18678320[PMID]
17620,166108,Birk-Barel syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_18678320[PMID]
17621,166113,Bazex syndrome,Disease,Disorder,Cases/families,Case(s),,145.0,Worldwide,Validated,18775590[PMID]
17621,166113,Bazex syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_18775590[PMID]
23,535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,Point prevalence,Value and class,1-5 / 10 000,50.0,Europe,Validated,European Medicines Agency 2007[INST]
23,535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,Annual incidence,Value and class,1-9 / 100 000,4.3,United States,Validated,19289752[PMID]
23,535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,Point prevalence,Value and class,6-9 / 10 000,73.0,United States,Validated,19289752[PMID]
23,535,Rare cutaneous lupus erythematosus,Clinical group,Group of disorders,Annual incidence,Value and class,1-9 / 100 000,4.0,Sweden,Validated,21574972[PMID]
17622,166119,Isolated osteopoikilosis,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.0,Worldwide,Validated,31129707[PMID]
17622,166119,Isolated osteopoikilosis,Disease,Disorder,Annual incidence,Value and class,1-9 / 100 000,2.0,Worldwide,Validated,31129707[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.327,United States,Validated,22991292[PMID]_26795590[PMID]
22,487,Krabbe disease,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,1.0,Europe,Validated,[EXPERT]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.7,Worldwide,Validated,[EXPERT]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Europe,Not yet validated,20301416[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.7,France,Validated,[EXPERT]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.71,Australia,Validated,9918480[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.35,Netherlands,Validated,10480370[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.21,Portugal,Validated,14685153[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.6,Germany,Validated,9286459[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Turkey,Validated,20490927[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.4,Czech Republic,Validated,20490927[PMID]
22,487,Krabbe disease,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,1.9,Sweden,Validated,5409293[PMID]
17624,166260,Dentinogenesis imperfecta type 2,Clinical subtype,Subtype of disorder,Point prevalence,Value and class,1-5 / 10 000,14.6,Europe,Validated,[EXPERT]
17625,166265,Dentinogenesis imperfecta type 3,Clinical subtype,Subtype of disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Not yet validated,ORPHANET
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Europe,Not yet validated,ORPHANET
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.23,Germany,Validated,16435194[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.15,Netherlands,Validated,10480370[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.42,Portugal,Validated,14685153[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.23,Sweden,Validated,18681890[PMID]_25274184[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.3,Sweden,Validated,18681890[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.07,Norway,Validated,18681890[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.2,Norway,Validated,18681890[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Denmark,Validated,18681890[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,3.7,Denmark,Validated,18681890[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Czech Republic,Validated,20490927[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.37,Australia,Validated,16600651[PMID]_14608657[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Canada,Validated,10617747[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.14,"Taiwan, Province of China",Validated,19396827[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.27,Estonia,Validated,22480138[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Point prevalence,Value and class,<1 / 1 000 000,0.059,Colombia,Validated,22550061[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Point prevalence,Value and class,1-9 / 1 000 000,0.16,Europe,Validated,European Medicines Agency 2001[INST]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Turkey,Validated,16435194[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.0132,Poland,Validated,25472774[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,7.85,Saudi Arabia,Validated,20622343[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.28,Brazil,Validated,PMID: 31926052
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.03,Japan,Validated,28595941[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.11,Switzerland,Validated,28595941[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.3,Tunisia,Validated,20209839[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.019,"Korea, Republic of",Validated,25364648[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.04,United States,Validated,34051828[PMID]
24,583,Mucopolysaccharidosis type 6,Disease,Disorder,Point prevalence,Value and class,<1 / 1 000 000,0.011,United States,Validated,34051828[PMID]
17626,166272,Odontochondrodysplasia,Malformation syndrome,Disorder,Cases/families,Case(s),,11.0,Worldwide,Validated,18241073[PMID]
17626,166272,Odontochondrodysplasia,Malformation syndrome,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_18241073[PMID]
27,576,Mucolipidosis type II,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.34,Europe,Validated,10480370[PMID]_14685153[PMID]_ 25274184[PMID]_ORPHANET
27,576,Mucolipidosis type II,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe,Validated,ORPHANET
27,576,Mucolipidosis type II,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.81,Portugal,Validated,14685153[PMID]
27,576,Mucolipidosis type II,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Netherlands,Validated,10480370[PMID]
27,576,Mucolipidosis type II,Disease,Disorder,Prevalence at birth,Value and class,1-5 / 10 000,16.2,Specific population,Validated,18190596[PMID]_1937486[PMID]
27,576,Mucolipidosis type II,Disease,Disorder,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Sweden,Validated,25274184[PMID]
17627,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,Cases/families,Case(s),,3.0,Worldwide,Validated,10544232[PMID]
17627,166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Malformation syndrome,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_10544232[PMID]
26,812,Sialidosis type 1,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe,Validated,ORPHANET
26,812,Sialidosis type 1,Disease,Disorder,Prevalence at birth,Class only,<1 / 1 000 000,0.0,Europe,Validated,ORPHANET
17628,166282,Familial sick sinus syndrome,Disease,Disorder,Cases/families,Case(s),,11.0,Worldwide,Validated,ORPHANET
17628,166282,Familial sick sinus syndrome,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET
29,578,Mucolipidosis type IV,Disease,Disorder,Point prevalence,Class only,Unknown,0.0,Worldwide,Validated,ORPHANET
29,578,Mucolipidosis type IV,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Sweden,Validated,25274184[PMID]
29,578,Mucolipidosis type IV,Disease,Disorder,Prevalence at birth,Value and class,1-9 / 100 000,2.5,Specific population,Validated,20159435[PMID]_16287144[PMID]_16645217[PMID]
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,Cases/families,Case(s),,45.0,Worldwide,Validated,21393947[PMID]
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide,Validated,ORPHANET_21393947[PMID]
28,577,Mucolipidosis type III,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,0.985,Europe,Validated,10480370[PMID]_ 14685153[PMID]_ ORPHANET
28,577,Mucolipidosis type III,Disease,Disorder,Annual incidence,Value and class,<1 / 1 000 000,0.08,Netherlands,Validated,10480370[PMID]
28,577,Mucolipidosis type III,Disease,Disorder,Annual incidence,Value and class,1-9 / 1 000 000,1.68,Portugal,Validated,14685153[PMID]
28,577,Mucolipidosis type III,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,29.55,Europe,Validated,ORPHANET
28,577,Mucolipidosis type III,Disease,Disorder,Point prevalence,Value and class,1-9 / 100 000,2.4,Netherlands,Validated,ORPHANET
28,577,Mucolipidosis type III,Disease,Disorder,Point prevalence,Value and class,1-5 / 10 000,50.4,Portugal,Validated,ORPHANET
17630,166291,Dirofilariasis,Disease,Disorder,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe,Not yet validated,ORPHANET
17635,166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Disease,Disorder,Cases/families,Case(s),,36.0,Worldwide,Validated,20822975[PMID]
