disorder_id,orpha_code,name,target_disorder_code,target_disorder_name,association_type
49,586,Cystic fibrosis,97955,Rare respiratory disease,Preferential parent
17649,166463,Epilepsy syndrome,98006,Rare neurologic disease,Preferential parent
17654,166478,Cerebral malformation with epilepsy,98006,Rare neurologic disease,Preferential parent
55,262,Duchenne and Becker muscular dystrophy,98006,Rare neurologic disease,Preferential parent
17655,166481,Metabolic diseases with epilepsy,98006,Rare neurologic disease,Preferential parent
17652,166472,Monogenic disease with epilepsy,98006,Rare neurologic disease,Preferential parent
17653,166475,Idiopathic or cryptogenic familial epilepsy syndrome with identified loci/genes,98006,Rare neurologic disease,Preferential parent
59,261,Emery-Dreifuss muscular dystrophy,98006,Rare neurologic disease,Preferential parent
17658,166490,Infectious disease with epilepsy,98006,Rare neurologic disease,Preferential parent
17656,166484,Inflammatory and autoimmune disease with epilepsy,98006,Rare neurologic disease,Preferential parent
17657,166487,Cerebral diseases of vascular origin with epilepsy,98006,Rare neurologic disease,Preferential parent
63,550,MELAS,98006,Rare neurologic disease,Preferential parent
62,269,Facioscapulohumeral dystrophy,98006,Rare neurologic disease,Preferential parent
61,480,Kearns-Sayre syndrome,68367,Rare inborn errors of metabolism,Preferential parent
68,593,Myofibrillar myopathy,98006,Rare neurologic disease,Preferential parent
64,551,MERRF,98006,Rare neurologic disease,Preferential parent
65,597,Central core disease,98006,Rare neurologic disease,Preferential parent
66,607,Nemaline myopathy,98006,Rare neurologic disease,Preferential parent
17538,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,98006,Rare neurologic disease,Preferential parent
76,684,Paramyotonia congenita of Von Eulenburg,98006,Rare neurologic disease,Preferential parent
17549,163931,Acrodermatitis continua of Hallopeau,89826,Rare skin disease,Preferential parent
77,273,Steinert myotonic dystrophy,98006,Rare neurologic disease,Preferential parent
17548,163927,Pustulosis palmaris et plantaris,89826,Rare skin disease,Preferential parent
17551,163937,"X-linked intellectual disability, Najm type",93890,Rare developmental defect during embryogenesis,Preferential parent
17550,163934,Atopic keratoconjunctivitis,97966,Rare ophthalmic disorder,Preferential parent
75,614,Thomsen and Becker disease,98006,Rare neurologic disease,Preferential parent
17546,163921,Posttransplant acute limbic encephalitis,98006,Rare neurologic disease,Preferential parent
17556,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",93419,Rare bone disease,Preferential parent
17557,163971,"X-linked intellectual disability, Cilliers type",93890,Rare developmental defect during embryogenesis,Preferential parent
17558,163976,"X-linked intellectual disability, Van Esch type",93890,Rare developmental defect during embryogenesis,Preferential parent
17559,163979,X-linked intellectual disability-craniofacioskeletal syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17554,163956,"X-linked intellectual disability, Nascimento type",93890,Rare developmental defect during embryogenesis,Preferential parent
17555,163961,X-linked cerebral-cerebellar-coloboma syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17564,164004,Middle and/or inner ear anomaly,93890,Rare developmental defect during embryogenesis,Preferential parent
17567,164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,250908,Rare neoplastic disease,Preferential parent
94,324,Fabry disease,68367,Rare inborn errors of metabolism,Preferential parent
17561,163985,Hyperekplexia-epilepsy syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
91,778,Rett syndrome,98006,Rare neurologic disease,Preferential parent
17563,164001,Rare odontal or periodontal disorder,98026,Rare odontologic disease,Preferential parent
90,72,Angelman syndrome,98006,Rare neurologic disease,Preferential parent
17575,165661,Genetic pancreatic disease,97935,Rare gastroenterologic disease,Preferential parent
102,307,Juvenile myoclonic epilepsy,98006,Rare neurologic disease,Preferential parent
17574,165658,Genetic gastro-esophageal disease,97935,Rare gastroenterologic disease,Preferential parent
17573,165655,Genetic intestinal disease,97935,Rare gastroenterologic disease,Preferential parent
17572,165652,Rare genetic gastroenterological disease,97935,Rare gastroenterologic disease,Preferential parent
101,1941,Juvenile absence epilepsy,98006,Rare neurologic disease,Preferential parent
99,892,Von Hippel-Lindau disease,250908,Rare neoplastic disease,Preferential parent
17569,164823,Rare acquired aplastic anemia,97992,Rare hematologic disease,Preferential parent
97,731,Autosomal recessive polycystic kidney disease,93626,Rare renal disease,Preferential parent
17568,164736,Familial advanced sleep-phase syndrome,98006,Rare neurologic disease,Preferential parent
110,138,CHARGE syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
109,558,Marfan syndrome,98023,Rare systemic or rheumatologic disease,Preferential parent
106,803,Amyotrophic lateral sclerosis,98006,Rare neurologic disease,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17578,165711,Rare abdominal surgical disease,,,Preferential parent
17577,165707,Syndromic urogenital tract malformation,93890,Rare developmental defect during embryogenesis,Preferential parent
104,100,Ataxia-telangiectasia,98006,Rare neurologic disease,Preferential parent
17576,165704,Non-syndromic urogenital tract malformation,93890,Rare developmental defect during embryogenesis,Preferential parent
105,733,Familial adenomatous polyposis,97935,Rare gastroenterologic disease,Preferential parent
118,399,Huntington disease,98006,Rare neurologic disease,Preferential parent
17588,165955,Wound myiasis,68416,Rare infectious disease,Preferential parent
117,501,Lafora disease,98006,Rare neurologic disease,Preferential parent
17589,165958,Cavitary myiasis,68416,Rare infectious disease,Preferential parent
116,870,Down syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
112,512,Metachromatic leukodystrophy,98006,Rare neurologic disease,Preferential parent
126,567,22q11.2 deletion syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17599,166016,"Multiple epiphyseal dysplasia, Lowry type",93419,Rare bone disease,Preferential parent
125,232,Sickle cell anemia,97992,Rare hematologic disease,Preferential parent
124,536,Systemic lupus erythematosus,98023,Rare systemic or rheumatologic disease,Preferential parent
17597,166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,93419,Rare bone disease,Preferential parent
123,534,Oculocerebrorenal syndrome of Lowe,93890,Rare developmental defect during embryogenesis,Preferential parent
17594,165988,Diazoxide-resistant diffuse hyperinsulinism,97978,Rare endocrine disease,Preferential parent
122,790,Retinoblastoma,250908,Rare neoplastic disease,Preferential parent
17595,165991,Exercise-induced hyperinsulinism,68367,Rare inborn errors of metabolism,Preferential parent
121,652,Multiple endocrine neoplasia type 1,250908,Rare neoplastic disease,Preferential parent
17593,165985,Diazoxide-sensitive diffuse hyperinsulinism,97978,Rare endocrine disease,Preferential parent
120,908,Fragile X syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
137,3099,Rheumatic fever,98023,Rare systemic or rheumatologic disease,Preferential parent
139,739,Prader-Willi syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
142,47,X-linked agammaglobulinemia,98004,Rare immune disease,Preferential parent
131,580,Mucopolysaccharidosis type 2,68367,Rare inborn errors of metabolism,Preferential parent
132,579,Mucopolysaccharidosis type 1,68367,Rare inborn errors of metabolism,Preferential parent
134,905,Wilson disease,57146,Rare hepatic disease,Preferential parent
17496,163209,Non-syndromic cerebral malformation due to abnormal neuronal migration,93890,Rare developmental defect during embryogenesis,Preferential parent
155,792,X-linked retinoschisis,97966,Rare ophthalmic disorder,Preferential parent
17500,163525,Subacute cutaneous lupus erythematosus,89826,Rare skin disease,Preferential parent
158,827,Stargardt disease,97966,Rare ophthalmic disorder,Preferential parent
17503,163582,Rare bacterial infectious disease,68416,Rare infectious disease,Preferential parent
17502,163531,Chronic cutaneous lupus erythematosus,89826,Rare skin disease,Preferential parent
144,906,Wiskott-Aldrich syndrome,98004,Rare immune disease,Preferential parent
145,904,Williams syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
147,280,Wolf-Hirschhorn syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17490,162516,Isolated congenital nasal pyriform aperture stenosis,93890,Rare developmental defect during embryogenesis,Preferential parent
148,15,Achondroplasia,93419,Rare bone disease,Preferential parent
149,96,Ataxia with vitamin E deficiency,98006,Rare neurologic disease,Preferential parent
17492,162526,Isolated congenital auditory ossicle malformation,98036,Rare otorhinolaryngologic disease,Preferential parent
150,101,Dentatorubral pallidoluysian atrophy,98006,Rare neurologic disease,Preferential parent
151,783,Rubinstein-Taybi syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17514,163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,93419,Rare bone disease,Preferential parent
171,631,Non-acquired isolated growth hormone deficiency,97978,Rare endocrine disease,Preferential parent
170,276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,98004,Rare immune disease,Preferential parent
17515,163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,93419,Rare bone disease,Preferential parent
169,481,Kennedy disease,98006,Rare neurologic disease,Preferential parent
168,664,Ornithine transcarbamylase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17518,163668,"Spondyloepiphyseal dysplasia, MacDermot type",93419,Rare bone disease,Preferential parent
17516,163662,"Spondyloepiphyseal dysplasia, Reardon type",93419,Rare bone disease,Preferential parent
173,394,Homocystinuria due to cystathionine beta-synthase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17517,163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",93419,Rare bone disease,Preferential parent
172,508,Donohue syndrome,97978,Rare endocrine disease,Preferential parent
17506,163591,Rare mycosis,68416,Rare infectious disease,Preferential parent
162,436,Hypophosphatasia,93419,Rare bone disease,Preferential parent
17507,163596,Hb Bart's hydrops fetalis,97992,Rare hematologic disease,Preferential parent
17504,163585,Rare viral disease,68416,Rare infectious disease,Preferential parent
161,429,Hypochondroplasia,93419,Rare bone disease,Preferential parent
17505,163588,Rare parasitic disease,68416,Rare infectious disease,Preferential parent
160,437,Hypophosphatemic rickets,93419,Rare bone disease,Preferential parent
17510,163637,"Rare disorder related with pregnancy, childbirth and puerperium",96344,Rare gynecologic or obstetric disease,Preferential parent
167,104,Leber hereditary optic neuropathy,97966,Rare ophthalmic disorder,Preferential parent
17508,163631,Bile acid synthesis defect with cholestasis and malabsorption,68367,Rare inborn errors of metabolism,Preferential parent
164,2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,93890,Rare developmental defect during embryogenesis,Preferential parent
17509,163634,Maffucci syndrome,93419,Rare bone disease,Preferential parent
17531,163717,Familial mesial temporal lobe epilepsy,98006,Rare neurologic disease,Preferential parent
17529,163708,Cryptogenic late-onset epileptic spasms,98006,Rare neurologic disease,Preferential parent
185,636,Neurofibromatosis type 1,98006,Rare neurologic disease,Preferential parent
17528,163703,Febrile infection-related epilepsy syndrome,98006,Rare neurologic disease,Preferential parent
190,649,Norrie disease,93890,Rare developmental defect during embryogenesis,Preferential parent
17533,163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,98006,Rare neurologic disease,Preferential parent
17532,163721,Rolandic epilepsy-speech dyspraxia syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17522,163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,98006,Rare neurologic disease,Preferential parent
17521,163681,CNTNAP2-related developmental and epileptic encephalopathy,98006,Rare neurologic disease,Preferential parent
176,379,Chronic granulomatous disease,98004,Rare immune disease,Preferential parent
177,16,Blue cone monochromatism,97966,Rare ophthalmic disorder,Preferential parent
182,644,NARP syndrome,98006,Rare neurologic disease,Preferential parent
17527,163699,Alveolar soft tissue sarcoma,250908,Rare neoplastic disease,Preferential parent
183,637,Full NF2-related schwannomatosis,98036,Rare otorhinolaryngologic disease,Preferential parent
17526,163696,Action myoclonus-renal failure syndrome,98006,Rare neurologic disease,Preferential parent
180,181,X-linked hypohidrotic ectodermal dysplasia,93890,Rare developmental defect during embryogenesis,Preferential parent
17525,163693,2p21 microdeletion syndrome,68367,Rare inborn errors of metabolism,Preferential parent
17524,163690,Hypotonia-cystinuria syndrome,68367,Rare inborn errors of metabolism,Preferential parent
205,337,Fibrodysplasia ossificans progressiva,93419,Rare bone disease,Preferential parent
207,377,Gorlin syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
206,648,Noonan syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
201,281,Monosomy 5p syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
203,752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",93890,Rare developmental defect during embryogenesis,Preferential parent
202,214,Cystinuria,93626,Rare renal disease,Preferential parent
197,510,Lesch-Nyhan syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
196,524,Li-Fraumeni syndrome,250908,Rare neoplastic disease,Preferential parent
193,699,Pearson syndrome,68367,Rare inborn errors of metabolism,Preferential parent
192,640,Hereditary neuropathy with liability to pressure palsies,98006,Rare neurologic disease,Preferential parent
194,60,Alpha-1-antitrypsin deficiency,97955,Rare respiratory disease,Preferential parent
220,895,Waardenburg syndrome type 2,93890,Rare developmental defect during embryogenesis,Preferential parent
221,896,Waardenburg syndrome type 3,93890,Rare developmental defect during embryogenesis,Preferential parent
218,857,Townes-Brocks syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
219,894,Waardenburg syndrome type 1,93890,Rare developmental defect during embryogenesis,Preferential parent
212,682,Hyperkalemic periodic paralysis,98006,Rare neurologic disease,Preferential parent
215,800,Schwartz-Jampel syndrome,93419,Rare bone disease,Preferential parent
209,628,Diastrophic dysplasia,93419,Rare bone disease,Preferential parent
210,673,Malaria,68416,Rare infectious disease,Preferential parent
211,681,Hypokalemic periodic paralysis,98006,Rare neurologic disease,Preferential parent
238,126,Blepharophimosis-ptosis-epicanthus inversus syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
237,107,BOR syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
236,774,Hereditary hemorrhagic telangiectasia,93890,Rare developmental defect during embryogenesis,Preferential parent
235,794,Saethre-Chotzen syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
234,710,Pfeiffer syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
233,2869,Peutz-Jeghers syndrome,97935,Rare gastroenterologic disease,Preferential parent
230,893,WAGR syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
225,912,Zellweger syndrome,68367,Rare inborn errors of metabolism,Preferential parent
254,50,Aicardi syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
255,53,Albers-Schönberg osteopetrosis,93419,Rare bone disease,Preferential parent
252,14,Abetalipoproteinemia,97978,Rare endocrine disease,Preferential parent
253,52,Alagille syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
249,167,Chédiak-Higashi syndrome,98004,Rare immune disease,Preferential parent
246,195,Cat-eye syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
244,207,Crouzon syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
242,205,Crigler-Najjar syndrome,57146,Rare hepatic disease,Preferential parent
17459,160148,Cap polyposis,97935,Rare gastroenterologic disease,Preferential parent
243,201,Cowden syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
240,192,Coffin-Lowry syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
275,2442,X-linked lymphoproliferative disease,98004,Rare immune disease,Preferential parent
17874,169808,Mild hemophilia A,97992,Rare hematologic disease,Preferential parent
17875,169826,Congenital vitamin K-dependent coagulation factors deficiency,97992,Rare hematologic disease,Preferential parent
17872,169802,Severe hemophilia A,97992,Rare hematologic disease,Preferential parent
17873,169805,Moderate hemophilia A,97992,Rare hematologic disease,Preferential parent
279,562,McCune-Albright syndrome,93419,Rare bone disease,Preferential parent
278,565,Menkes disease,68367,Rare inborn errors of metabolism,Preferential parent
277,2443,Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies,68367,Rare inborn errors of metabolism,Preferential parent
283,474,Jeune syndrome,93419,Rare bone disease,Preferential parent
282,540,Familial hemophagocytic lymphohistiocytosis,98004,Rare immune disease,Preferential parent
281,568,"Microphthalmia, Lenz type",93890,Rare developmental defect during embryogenesis,Preferential parent
280,564,Meckel syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
287,289,Ellis Van Creveld syndrome,93419,Rare bone disease,Preferential parent
284,258,Laminin subunit alpha 2-related congenital muscular dystrophy,98006,Rare neurologic disease,Preferential parent
258,1247,Schistosomiasis,68416,Rare infectious disease,Preferential parent
259,112,Bartter syndrome,93626,Rare renal disease,Preferential parent
17856,169443,Specific antibody deficiency with normal immunoglobulin concentrations and normal numbers of B cells,98004,Rare immune disease,Preferential parent
257,1646,Chromosome Y microdeletion syndrome,98047,Rare infertility,Preferential parent
17863,169464,Primary CD59 deficiency,98004,Rare immune disease,Preferential parent
263,99,Autosomal dominant cerebellar ataxia,98006,Rare neurologic disease,Preferential parent
260,116,Beckwith-Wiedemann syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
261,87,Apert syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
264,97,Familial paroxysmal ataxia,98006,Rare neurologic disease,Preferential parent
17864,169467,Recurrent Neisseria infections due to factor D deficiency,98004,Rare immune disease,Preferential parent
265,313,Lamellar ichthyosis,89826,Rare skin disease,Preferential parent
17871,169799,Mild hemophilia B,97992,Rare hematologic disease,Preferential parent
17870,169796,Moderate hemophilia B,97992,Rare hematologic disease,Preferential parent
17869,169793,Severe hemophilia B,97992,Rare hematologic disease,Preferential parent
17904,171220,Isolated rectal duplication,93890,Rare developmental defect during embryogenesis,Preferential parent
305,1000,Ocular albinism with late-onset sensorineural deafness,97966,Rare ophthalmic disorder,Preferential parent
304,999,Ermine phenotype,93890,Rare developmental defect during embryogenesis,Preferential parent
17906,171430,Severe congenital nemaline myopathy,98006,Rare neurologic disease,Preferential parent
17907,171433,Intermediate nemaline myopathy,98006,Rare neurologic disease,Preferential parent
17908,171436,Typical nemaline myopathy,98006,Rare neurologic disease,Preferential parent
17909,171439,Childhood-onset nemaline myopathy,98006,Rare neurologic disease,Preferential parent
311,55,Oculocutaneous albinism,89826,Rare skin disease,Preferential parent
17910,171442,Adult-onset nemaline myopathy,98006,Rare neurologic disease,Preferential parent
17911,171445,Muscle filaminopathy,98006,Rare neurologic disease,Preferential parent
17912,171607,X-linked spastic paraplegia type 34,98006,Rare neurologic disease,Preferential parent
313,2771,Bruck syndrome,93419,Rare bone disease,Preferential parent
17913,171612,Autosomal dominant spastic paraplegia type 37,98006,Rare neurologic disease,Preferential parent
17914,171617,Autosomal dominant spastic paraplegia type 38,98006,Rare neurologic disease,Preferential parent
315,1349,Mitochondrial DNA-related cardiomyopathy and hearing loss,97929,Rare cardiac disease,Preferential parent
17915,171622,Autosomal recessive spastic paraplegia type 32,98006,Rare neurologic disease,Preferential parent
17916,171629,Autosomal recessive spastic paraplegia type 35,98006,Rare neurologic disease,Preferential parent
293,861,Treacher-Collins syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
294,308,Progressive myoclonic epilepsy type 1,98006,Rare neurologic disease,Preferential parent
297,1991,Cleft lip with or without cleft palate,93890,Rare developmental defect during embryogenesis,Preferential parent
299,199,Cornelia de Lange syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
301,2162,Holoprosencephaly,93890,Rare developmental defect during embryogenesis,Preferential parent
302,930,Idiopathic achalasia,97935,Rare gastroenterologic disease,Preferential parent
303,998,Albinism-deafness syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
343,1727,22q11.2 duplication syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17815,169079,Cernunnos-XLF deficiency,98004,Rare immune disease,Preferential parent
341,1716,Distal duplication 18q syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
340,1715,Trisomy 18p syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
339,3380,Trisomy 18 syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17810,168984,CLAPO syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
338,1707,Distal duplication 15q syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17811,168999,Malignant melanoma of the mucosa,250908,Rare neoplastic disease,Preferential parent
337,3378,Trisomy 13 syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17822,169110,Immunoglobulin heavy chain deficiency,98004,Rare immune disease,Preferential parent
17820,169100,Immunodeficiency due to CD25 deficiency,98004,Rare immune disease,Preferential parent
17821,169105,Good syndrome,98004,Rare immune disease,Preferential parent
17818,169090,Combined immunodeficiency due to CRAC channel dysfunction,98004,Rare immune disease,Preferential parent
346,236,Trisomy 9p syndrome,93890,Rare developmental defect during embryogenesis,Preferential parent
17819,169095,Severe combined immunodeficiency due to FOXN1 deficiency,98004,Rare immune disease,Preferential parent
17816,169082,Combined immunodeficiency due to CD3gamma deficiency,98004,Rare immune disease,Preferential parent
17817,169085,Susceptibility to respiratory infections associated with CD8alpha chain mutation,98004,Rare immune disease,Preferential parent
17798,168829,Primary peritoneal carcinoma,250908,Rare neoplastic disease,Preferential parent
17797,168816,Peritoneal inclusion cyst,250908,Rare neoplastic disease,Preferential parent
324,753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",93890,Rare developmental defect during embryogenesis,Preferential parent
325,868,Triose phosphate-isomerase deficiency,68367,Rare inborn errors of metabolism,Preferential parent
17796,168811,Malignant peritoneal mesothelioma,250908,Rare neoplastic disease,Preferential parent
17795,168807,Primary malignant peritoneal tumor,250908,Rare neoplastic disease,Preferential parent
17794,168803,Primary peritoneal tumor,250908,Rare neoplastic disease,Preferential parent
323,218,Darier disease,89826,Rare skin disease,Preferential parent
